league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2223,Brentford,Keane Lewis-Potter,1,2022,244,10809,F S,10,307,0,0.6775096822530031,0,0.6775096822530031,1,1.429301805794239,7,5,0,0,1.1727796997874975,0.0487009994685649
ENG-Premier League,2223,Brentford,Kevin Schade,1,2022,244,9156,F S,18,720,0,1.3834919892251492,0,1.3834919892251492,1,1.5542514063417912,12,8,2,0,3.833646835759282,1.1757235415279863
ENG-Premier League,2223,Brentford,Kristoffer Ajer,1,2022,244,9677,D,9,781,0,0.023081500083208,0,0.023081500083208,0,0.0165113992989063,1,1,0,0,1.5337861999869349,1.5337861999869349
ENG-Premier League,2223,Brentford,Mads Bech Sørensen,1,2022,244,9683,S,4,13,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0145397996529936,0.0145397996529936
ENG-Premier League,2223,Brentford,Mads Roerslev,1,2022,244,9685,D S,20,1089,0,0.3934907913208008,0,0.3934907913208008,0,1.8459260575473309,3,8,0,0,2.639313882216811,1.452640237286687
ENG-Premier League,2223,Brentford,Mathias Jensen,1,2022,244,7166,M,37,2898,5,1.9304941780865192,5,1.9304941780865192,6,3.59164313133806,23,48,5,0,9.59474617615342,6.600326562300324
ENG-Premier League,2223,Brentford,Mikkel Damsgaard,1,2022,244,8859,F M S,26,963,0,2.660358265042305,0,2.660358265042305,0,1.7436131360009313,12,11,4,0,5.63767113443464,2.2835514806210995
ENG-Premier League,2223,Brentford,Pontus Jansson,1,2022,244,1801,D S,12,724,1,0.1967248991131782,1,0.1967248991131782,0,0.0,4,0,0,0,1.850629718974233,1.7343054097145796
ENG-Premier League,2223,Brentford,Rico Henry,1,2022,244,9679,D,37,3260,0,1.945255502127111,0,1.945255502127111,2,3.062078721821308,22,23,4,0,9.57805674150586,5.399344060570002
ENG-Premier League,2223,Brentford,Saman Ghoddos,1,2022,244,7069,S,15,93,0,0.0554910004138946,0,0.0554910004138946,0,0.2644379809498787,1,4,0,0,0.963206484913826,0.9295362625271082
ENG-Premier League,2223,Brentford,Sergi Canos,1,2022,244,1078,S,5,55,0,0.0599079988896846,0,0.0599079988896846,0,0.0176229998469352,1,1,0,0,0.0775309987366199,0.0
ENG-Premier League,2223,Brentford,Shandon Baptiste,1,2022,244,9914,M S,23,568,0,0.184569239616394,0,0.184569239616394,1,1.0790189672261477,4,10,1,1,1.5274408347904682,0.8893836699426174
ENG-Premier League,2223,Brentford,Vitaly Janelt,1,2022,244,9680,D M S,35,2206,3,2.191264372318983,3,2.191264372318983,1,1.4620734620839355,14,16,3,0,7.5696020424366,5.46771614253521
ENG-Premier League,2223,Brentford,Yoane Wissa,1,2022,244,5786,F S,38,1583,7,5.207585535943508,7,5.207585535943508,3,2.6399280801415443,32,13,3,0,11.27296715322882,4.301408238708973
ENG-Premier League,2223,Brentford,Zanka,1,2022,244,6030,D S,18,1082,0,0.4019469805061817,0,0.4019469805061817,0,0.2393823862075805,5,3,2,0,2.812157953158021,2.583403604105115
ENG-Premier League,2223,Brighton,Adam Lallana,1,2022,220,486,F M S,16,742,2,1.1926603838801384,2,1.1926603838801384,1,0.9687040857970716,8,14,0,0,3.4976200629025698,1.924544109031558
